"filename", "language", "HTML", "Java", "XML", "CSS", "JavaScript", "Java Properties", "comment", "blank", "total"
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/nb-configuration.xml", "XML", 0, 0, 7, 0, 0, 0, 12, 1, 20
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/pom.xml", "XML", 0, 0, 80, 0, 0, 0, 0, 3, 83
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/Modelo/Estacion.java", "Java", 0, 61, 0, 0, 0, 0, 8, 20, 89
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/Modelo/Locomotora.java", "Java", 0, 54, 0, 0, 0, 0, 0, 3, 57
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/Modelo/Tren.java", "Java", 0, 111, 0, 0, 0, 0, 3, 28, 142
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/Modelo/Vagon.java", "Java", 0, 29, 0, 0, 0, 0, 0, 3, 32
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/Modelo/VagonMercancias.java", "Java", 0, 26, 0, 0, 0, 0, 0, 6, 32
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/Modelo/VagonPasajeros.java", "Java", 0, 23, 0, 0, 0, 0, 0, 6, 29
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/Modelo/main.java", "Java", 0, 21, 0, 0, 0, 0, 9, 11, 41
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/com/mycompany/tren/JakartaRestConfiguration.java", "Java", 0, 6, 0, 0, 0, 0, 4, 4, 14
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/com/mycompany/tren/resources/JakartaEE10Resource.java", "Java", 0, 13, 0, 0, 0, 0, 4, 4, 21
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/servlets/SvEstacion.java", "Java", 0, 49, 0, 0, 0, 0, 40, 11, 100
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/servlets/SvIndex.java", "Java", 0, 50, 0, 0, 0, 0, 40, 11, 101
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/servlets/SvTerminarTren.java", "Java", 0, 63, 0, 0, 0, 0, 40, 18, 121
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/java/servlets/SvVagones.java", "Java", 0, 65, 0, 0, 0, 0, 40, 15, 120
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/resources/META-INF/persistence.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 2, 8
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/META-INF/context.xml", "XML", 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/WEB-INF/beans.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/WEB-INF/web.xml", "XML", 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/estacion.jsp", "HTML", 43, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/index.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/index.jsp", "HTML", 26, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/js/scriptResumen.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/js/scriptsMenu.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/locomotora.jsp", "HTML", 33, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/resumen.jsp", "HTML", 77, 0, 0, 0, 0, 0, 0, 5, 82
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/styles/resumen.css", "CSS", 0, 0, 0, 40, 0, 0, 1, 9, 50
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/styles/style.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 8, 56
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/tren.jsp", "HTML", 26, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/src/main/webapp/vagones.jsp", "HTML", 60, 0, 0, 0, 0, 0, 0, 15, 75
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/META-INF/context.xml", "XML", 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/beans.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 6
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/META-INF/persistence.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 2, 8
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/Modelo/Estacion.class", "Java", 0, 30, 0, 0, 0, 0, 0, 0, 30
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/Modelo/Locomotora.class", "Java", 0, 17, 0, 0, 0, 0, 0, 0, 17
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/Modelo/Tren.class", "Java", 0, 67, 0, 0, 0, 0, 0, 0, 67
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/Modelo/Vagon.class", "Java", 0, 12, 0, 0, 0, 0, 0, 0, 12
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/Modelo/VagonMercancias.class", "Java", 0, 15, 0, 0, 0, 0, 0, 0, 15
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/Modelo/VagonPasajeros.class", "Java", 0, 13, 0, 0, 0, 0, 0, 0, 13
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/Modelo/main.class", "Java", 0, 19, 0, 0, 0, 0, 0, 0, 19
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/com/mycompany/tren/JakartaRestConfiguration.class", "Java", 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/com/mycompany/tren/resources/JakartaEE10Resource.class", "Java", 0, 9, 0, 0, 0, 0, 0, 0, 9
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/servlets/SvEstacion.class", "Java", 0, 25, 0, 0, 0, 0, 0, 0, 25
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/servlets/SvIndex.class", "Java", 0, 28, 0, 0, 0, 0, 0, 0, 28
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/servlets/SvTerminarTren.class", "Java", 0, 37, 0, 0, 0, 0, 0, 0, 37
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/classes/servlets/SvVagones.class", "Java", 0, 37, 0, 0, 0, 0, 0, 0, 37
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/WEB-INF/web.xml", "XML", 0, 0, 16, 0, 0, 0, 0, 1, 17
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/estacion.jsp", "HTML", 43, 0, 0, 0, 0, 0, 0, 6, 49
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/index.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/index.jsp", "HTML", 26, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/js/scriptResumen.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/js/scriptsMenu.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 3, 13
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/locomotora.jsp", "HTML", 33, 0, 0, 0, 0, 0, 0, 3, 36
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/resumen.jsp", "HTML", 77, 0, 0, 0, 0, 0, 0, 5, 82
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/styles/resumen.css", "CSS", 0, 0, 0, 40, 0, 0, 1, 9, 50
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/styles/style.css", "CSS", 0, 0, 0, 48, 0, 0, 0, 8, 56
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/tren.jsp", "HTML", 26, 0, 0, 0, 0, 0, 0, 8, 34
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/Tren-1.0-SNAPSHOT/vagones.jsp", "HTML", 60, 0, 0, 0, 0, 0, 0, 15, 75
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/META-INF/persistence.xml", "XML", 0, 0, 5, 0, 0, 0, 1, 2, 8
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/Modelo/Estacion.class", "Java", 0, 33, 0, 0, 0, 0, 0, 0, 33
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/Modelo/Locomotora.class", "Java", 0, 18, 0, 0, 0, 0, 0, 0, 18
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/Modelo/Tren.class", "Java", 0, 73, 0, 0, 0, 0, 0, 0, 73
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/Modelo/Vagon.class", "Java", 0, 11, 0, 0, 0, 0, 0, 0, 11
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/Modelo/VagonMercancias.class", "Java", 0, 14, 0, 0, 0, 0, 0, 0, 14
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/Modelo/VagonPasajeros.class", "Java", 0, 16, 0, 0, 0, 0, 0, 0, 16
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/Modelo/main.class", "Java", 0, 20, 0, 0, 0, 0, 0, 0, 20
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/com/mycompany/tren/JakartaRestConfiguration.class", "Java", 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/com/mycompany/tren/resources/JakartaEE10Resource.class", "Java", 0, 10, 0, 0, 0, 0, 0, 0, 10
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/servlets/SvEstacion.class", "Java", 0, 33, 0, 0, 0, 0, 0, 0, 33
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/servlets/SvIndex.class", "Java", 0, 35, 0, 0, 0, 0, 0, 0, 35
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/servlets/SvTerminarTren.class", "Java", 0, 43, 0, 0, 0, 0, 0, 0, 43
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/classes/servlets/SvVagones.class", "Java", 0, 43, 0, 0, 0, 0, 0, 0, 43
"/Users/bernardomartinez/Library/Mobile Documents/com~apple~CloudDocs/2o DAW/JavaWeb/Tren/target/maven-archiver/pom.properties", "Java Properties", 0, 0, 0, 0, 0, 3, 0, 1, 4
"Total", "-", 582, 1239, 150, 176, 32, 3, 205, 289, 2676